a=01100110, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=01100110, sa=1, s=0, e=0, bus wire=zzzzzzzz
a=01100110, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=01100110, sa=0, s=0, e=1, bus wire=01100111
a=01100111, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=01100111, sa=1, s=0, e=0, bus wire=zzzzzzzz
a=01100111, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=01100111, sa=0, s=0, e=1, bus wire=01101000
a=01101000, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=01101000, sa=1, s=0, e=0, bus wire=zzzzzzzz
a=01101000, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=01101000, sa=0, s=0, e=1, bus wire=01101001
a=01101001, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=01101001, sa=1, s=0, e=0, bus wire=zzzzzzzz
a=01101001, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=01101001, sa=0, s=0, e=1, bus wire=01101010
a=01101010, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=01101010, sa=1, s=0, e=0, bus wire=zzzzzzzz
a=01101010, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=01101010, sa=0, s=0, e=1, bus wire=01101011
a=01101011, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=01101011, sa=1, s=0, e=0, bus wire=zzzzzzzz
a=01101011, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=01101011, sa=0, s=0, e=1, bus wire=01101100
a=01101100, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=01101100, sa=1, s=0, e=0, bus wire=zzzzzzzz
a=01101100, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=01101100, sa=0, s=0, e=1, bus wire=01101101
a=01101101, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=01101101, sa=1, s=0, e=0, bus wire=zzzzzzzz
a=01101101, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=01101101, sa=0, s=0, e=1, bus wire=01101110
a=01101110, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=01101110, sa=1, s=0, e=0, bus wire=zzzzzzzz
a=01101110, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=01101110, sa=0, s=0, e=1, bus wire=01101111
a=01101111, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=01101111, sa=1, s=0, e=0, bus wire=zzzzzzzz
a=01101111, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=01101111, sa=0, s=0, e=1, bus wire=01110000
a=01110000, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=01110000, sa=1, s=0, e=0, bus wire=zzzzzzzz
a=01110000, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=01110000, sa=0, s=0, e=1, bus wire=01110001
a=01110001, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=01110001, sa=1, s=0, e=0, bus wire=zzzzzzzz
a=01110001, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=01110001, sa=0, s=0, e=1, bus wire=01110010
a=01110010, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=01110010, sa=1, s=0, e=0, bus wire=zzzzzzzz
a=01110010, sa=0, s=0, e=0, bus wire=zzzzzzzz
a=01110010, sa=0, s=0, e=1, bus wire=01110011
